generation,v4_nodes,v4_action,v4_p_m,v4_p_s,v4_p_i,v5_nodes,v5_action,v5_p_m,v5_p_s,v5_p_i
407,22,I,0.083,0.122,0.795,37,I,0.079,0.109,0.812
408,22,M,0.812,0.074,0.114,38,M,0.903,0.064,0.033
409,22,M,0.826,0.127,0.047,38,M,0.853,0.081,0.067
410,22,M,0.891,0.065,0.044,39,M,0.785,0.111,0.104
411,22,M,0.795,0.118,0.087,37,M,0.894,0.022,0.084
412,22,M,0.881,0.034,0.085,37,M,0.902,0.042,0.056
413,22,M,0.807,0.098,0.095,38,M,0.922,0.038,0.04
414,22,S,0.116,0.776,0.108,38,S,0.083,0.871,0.046
415,22,M,0.866,0.044,0.09,39,M,0.784,0.126,0.09
416,21,M,0.886,0.075,0.039,38,M,0.827,0.075,0.098
417,22,M,0.864,0.034,0.102,38,M,0.827,0.042,0.131
418,22,S,0.073,0.899,0.028,38,S,0.044,0.869,0.087
419,22,M,0.91,0.052,0.038,39,M,0.897,0.063,0.041
420,21,M,0.857,0.067,0.076,39,S,0.068,0.866,0.066
421,22,M,0.819,0.104,0.077,39,M,0.883,0.08,0.037
422,22,S,0.066,0.871,0.063,38,S,0.046,0.911,0.043
423,22,S,0.1,0.824,0.076,40,S,0.109,0.819,0.071
424,22,S,0.093,0.833,0.074,38,S,0.102,0.792,0.106
425,22,M,0.882,0.097,0.022,40,M,0.824,0.097,0.079
426,22,M,0.867,0.08,0.052,40,M,0.809,0.126,0.064
427,22,M,0.808,0.084,0.108,40,M,0.842,0.073,0.084
428,22,M,0.813,0.114,0.073,41,M,0.867,0.062,0.071
429,22,M,0.853,0.058,0.089,40,M,0.856,0.106,0.038
430,22,S,0.039,0.918,0.043,40,S,0.114,0.825,0.061
431,22,S,0.039,0.862,0.1,40,S,0.073,0.847,0.079
432,22,M,0.803,0.081,0.116,40,M,0.884,0.05,0.067
433,22,I,0.048,0.099,0.853,40,I,0.109,0.133,0.759
434,22,M,0.835,0.085,0.081,42,M,0.816,0.066,0.119
435,22,I,0.127,0.081,0.792,40,I,0.054,0.12,0.825
436,23,S,0.099,0.864,0.036,41,S,0.054,0.836,0.11
437,22,M,0.92,0.054,0.025,40,M,0.874,0.095,0.031
438,22,I,0.043,0.129,0.828,41,I,0.055,0.063,0.882
439,22,I,0.101,0.117,0.782,42,I,0.045,0.104,0.851
440,22,S,0.026,0.915,0.059,42,S,0.072,0.806,0.122
441,23,M,0.82,0.076,0.103,41,M,0.906,0.039,0.055
442,22,M,0.908,0.053,0.038,41,M,0.871,0.028,0.101
443,22,M,0.854,0.07,0.076,42,M,0.918,0.027,0.055
444,22,S,0.055,0.873,0.072,41,S,0.086,0.868,0.046
445,23,M,0.856,0.063,0.082,42,M,0.913,0.036,0.051
446,22,M,0.827,0.098,0.075,43,M,0.811,0.101,0.088
447,23,M,0.865,0.098,0.037,42,S,0.122,0.757,0.121
448,22,M,0.907,0.051,0.041,43,M,0.847,0.116,0.038
449,22,M,0.799,0.075,0.125,42,M,0.935,0.027,0.038
450,23,M,0.851,0.099,0.05,43,M,0.802,0.103,0.096
451,23,M,0.841,0.045,0.114,42,M,0.795,0.103,0.102
452,23,M,0.816,0.12,0.063,43,M,0.843,0.102,0.055
453,23,M,0.861,0.075,0.064,43,M,0.794,0.095,0.111
454,23,I,0.126,0.063,0.812,44,I,0.099,0.068,0.834
455,22,I,0.05,0.077,0.873,43,I,0.123,0.071,0.806
456,23,M,0.865,0.063,0.071,44,M,0.88,0.071,0.049
457,22,M,0.941,0.028,0.03,43,M,0.833,0.066,0.1
458,23,M,0.863,0.043,0.093,43,M,0.835,0.056,0.109
459,23,M,0.901,0.073,0.026,43,M,0.85,0.054,0.096
460,22,M,0.852,0.078,0.07,44,M,0.919,0.029,0.052
461,23,S,0.035,0.859,0.106,44,S,0.103,0.836,0.062
462,23,M,0.882,0.029,0.09,44,M,0.865,0.045,0.09
463,23,M,0.815,0.124,0.061,44,M,0.865,0.104,0.031
464,23,M,0.879,0.039,0.082,44,M,0.837,0.117,0.046
465,23,M,0.896,0.037,0.067,45,M,0.888,0.07,0.042
466,23,S,0.064,0.863,0.074,44,S,0.078,0.836,0.086
467,23,S,0.092,0.807,0.101,45,S,0.1,0.857,0.043
468,23,S,0.115,0.777,0.108,45,S,0.055,0.845,0.1
469,23,M,0.829,0.112,0.059,44,M,0.924,0.051,0.025
470,23,S,0.1,0.824,0.076,45,S,0.11,0.833,0.056
471,23,M,0.873,0.034,0.092,46,M,0.835,0.084,0.081
472,23,I,0.12,0.113,0.767,46,I,0.041,0.055,0.904
473,23,M,0.871,0.078,0.051,45,M,0.883,0.039,0.077
474,23,M,0.799,0.095,0.106,46,M,0.822,0.054,0.123
475,23,M,0.815,0.134,0.052,45,M,0.912,0.045,0.043
476,24,M,0.835,0.097,0.068,46,M,0.884,0.053,0.062
477,23,M,0.868,0.077,0.055,45,M,0.866,0.092,0.042
478,23,M,0.862,0.045,0.092,45,M,0.874,0.037,0.089
479,24,M,0.848,0.108,0.043,46,M,0.798,0.098,0.104
480,23,M,0.886,0.067,0.047,47,M,0.819,0.092,0.09
481,24,M,0.788,0.111,0.101,46,M,0.848,0.04,0.113
482,23,M,0.791,0.11,0.099,47,M,0.88,0.098,0.022
483,23,M,0.837,0.063,0.1,47,M,0.887,0.047,0.066
484,23,M,0.793,0.106,0.101,46,S,0.093,0.878,0.029
485,24,M,0.914,0.043,0.042,47,I,0.062,0.077,0.86
486,23,S,0.093,0.86,0.047,47,S,0.091,0.857,0.052
487,24,M,0.925,0.031,0.043,47,I,0.031,0.061,0.908
488,24,M,0.834,0.066,0.1,48,M,0.844,0.034,0.122
489,23,S,0.12,0.801,0.079,48,S,0.028,0.884,0.088
490,23,M,0.837,0.121,0.041,48,M,0.855,0.082,0.063
491,24,M,0.788,0.11,0.102,47,M,0.786,0.11,0.104
492,24,M,0.763,0.124,0.113,48,M,0.849,0.041,0.11
493,24,M,0.839,0.059,0.102,48,M,0.821,0.106,0.073
494,24,M,0.844,0.088,0.068,48,M,0.861,0.063,0.077
495,24,M,0.82,0.066,0.114,48,M,0.859,0.032,0.109
496,24,M,0.901,0.068,0.032,48,M,0.887,0.056,0.056
497,24,M,0.848,0.032,0.12,48,M,0.844,0.067,0.089
498,23,M,0.854,0.113,0.032,50,M,0.92,0.037,0.043
499,24,M,0.839,0.077,0.084,50,M,0.849,0.117,0.034
500,23,S,0.083,0.837,0.081,50,S,0.043,0.883,0.074
501,23,M,0.874,0.075,0.051,48,S,0.117,0.822,0.061
502,24,S,0.08,0.847,0.073,49,S,0.077,0.838,0.085
503,24,M,0.823,0.113,0.064,50,M,0.833,0.113,0.054
504,23,M,0.833,0.113,0.055,49,M,0.865,0.098,0.038
505,24,M,0.802,0.111,0.087,51,M,0.861,0.101,0.038
506,24,S,0.027,0.853,0.12,49,S,0.042,0.829,0.129
507,23,M,0.866,0.066,0.068,50,M,0.911,0.051,0.038
508,24,S,0.109,0.859,0.032,50,S,0.108,0.779,0.113
509,24,M,0.815,0.08,0.106,51,M,0.909,0.056,0.035
510,24,M,0.91,0.04,0.05,50,M,0.87,0.085,0.046
511,24,M,0.79,0.108,0.102,51,M,0.939,0.038,0.023
512,24,I,0.031,0.113,0.856,50,I,0.125,0.029,0.845
513,24,S,0.072,0.839,0.09,51,S,0.021,0.904,0.074
514,24,M,0.842,0.055,0.103,51,M,0.855,0.115,0.03
515,24,S,0.083,0.811,0.106,52,S,0.027,0.88,0.093
516,24,M,0.892,0.074,0.034,52,M,0.831,0.077,0.092
517,24,M,0.834,0.079,0.086,51,M,0.815,0.096,0.089
518,24,M,0.907,0.06,0.032,52,M,0.942,0.03,0.028
519,24,M,0.883,0.066,0.051,52,M,0.818,0.066,0.116
520,25,M,0.786,0.098,0.116,52,M,0.846,0.064,0.09
521,24,M,0.88,0.084,0.037,53,M,0.91,0.062,0.028
522,25,S,0.069,0.876,0.055,52,S,0.061,0.864,0.075
523,25,M,0.8,0.105,0.095,52,M,0.881,0.031,0.088
524,24,M,0.905,0.059,0.036,53,M,0.809,0.088,0.103
525,25,S,0.114,0.792,0.094,53,S,0.022,0.904,0.074
526,24,M,0.912,0.063,0.026,52,M,0.874,0.064,0.062
527,24,M,0.871,0.095,0.035,52,M,0.838,0.029,0.132
528,25,M,0.76,0.122,0.118,52,M,0.867,0.086,0.047
529,24,M,0.893,0.023,0.084,54,M,0.824,0.086,0.09
530,25,M,0.812,0.078,0.11,53,M,0.916,0.038,0.046
531,25,M,0.866,0.114,0.02,53,I,0.083,0.097,0.82
532,24,M,0.938,0.03,0.032,54,M,0.805,0.085,0.11
533,24,S,0.069,0.807,0.124,54,I,0.075,0.09,0.835
534,25,S,0.108,0.797,0.095,53,S,0.119,0.848,0.033
535,25,M,0.901,0.059,0.04,54,M,0.911,0.021,0.068
536,25,M,0.824,0.097,0.079,53,M,0.751,0.125,0.124
537,25,M,0.813,0.109,0.078,55,I,0.084,0.096,0.82
538,25,M,0.882,0.044,0.074,53,M,0.802,0.084,0.114
539,25,M,0.801,0.089,0.11,54,M,0.896,0.068,0.036
540,25,M,0.896,0.079,0.025,55,M,0.895,0.081,0.024
541,25,M,0.882,0.093,0.026,55,M,0.803,0.092,0.105
542,25,M,0.88,0.03,0.089,55,M,0.902,0.065,0.033
543,25,M,0.881,0.029,0.091,55,M,0.945,0.028,0.027
544,25,I,0.076,0.078,0.846,55,I,0.042,0.118,0.84
545,25,M,0.772,0.111,0.118,55,M,0.87,0.059,0.072
546,25,M,0.853,0.089,0.058,55,M,0.89,0.037,0.073
547,25,M,0.8,0.115,0.085,57,M,0.786,0.125,0.089
548,24,M,0.808,0.111,0.081,55,M,0.913,0.055,0.032
549,25,M,0.866,0.043,0.091,56,M,0.846,0.108,0.047
550,25,M,0.878,0.041,0.081,56,M,0.921,0.029,0.05
551,25,M,0.919,0.049,0.032,57,M,0.798,0.089,0.113
552,25,S,0.125,0.844,0.031,56,I,0.127,0.112,0.761
553,25,I,0.131,0.061,0.807,57,I,0.1,0.058,0.843
554,25,M,0.902,0.038,0.061,57,M,0.851,0.066,0.083
555,25,S,0.092,0.815,0.093,57,S,0.122,0.829,0.048
556,25,M,0.86,0.057,0.083,57,M,0.864,0.078,0.059
557,25,S,0.066,0.906,0.028,57,S,0.059,0.852,0.089
558,25,M,0.865,0.089,0.046,57,M,0.851,0.108,0.041
559,25,M,0.897,0.048,0.055,58,M,0.78,0.113,0.106
560,25,M,0.869,0.047,0.084,58,M,0.822,0.116,0.062
561,26,M,0.843,0.067,0.09,58,M,0.877,0.021,0.102
562,25,M,0.82,0.091,0.089,58,M,0.774,0.112,0.114
563,26,S,0.08,0.886,0.034,59,S,0.08,0.884,0.036
564,25,M,0.819,0.128,0.053,57,M,0.938,0.032,0.03
565,25,S,0.074,0.899,0.027,59,S,0.114,0.842,0.043
566,26,S,0.106,0.87,0.025,58,S,0.028,0.864,0.108
567,26,S,0.051,0.88,0.069,59,S,0.088,0.833,0.079
568,25,M,0.876,0.094,0.031,58,M,0.859,0.106,0.035
569,25,M,0.822,0.069,0.109,59,M,0.838,0.093,0.069
570,25,M,0.833,0.095,0.072,58,M,0.922,0.048,0.029
571,26,M,0.816,0.089,0.095,58,M,0.912,0.05,0.038
572,26,M,0.92,0.025,0.055,59,M,0.801,0.091,0.108
573,25,M,0.866,0.072,0.062,59,M,0.82,0.09,0.09
574,25,M,0.886,0.087,0.026,59,S,0.031,0.879,0.09
575,25,S,0.046,0.824,0.13,60,S,0.048,0.908,0.043
576,25,M,0.899,0.069,0.032,60,M,0.784,0.087,0.129
577,26,M,0.862,0.081,0.057,61,M,0.923,0.036,0.041
578,26,M,0.862,0.066,0.072,61,M,0.863,0.111,0.026
579,26,M,0.877,0.04,0.083,60,M,0.868,0.087,0.045
580,26,M,0.814,0.071,0.116,60,M,0.858,0.025,0.117
581,25,M,0.804,0.117,0.079,61,M,0.903,0.027,0.07
582,25,M,0.82,0.13,0.05,62,M,0.839,0.057,0.103
583,25,M,0.876,0.096,0.027,60,M,0.888,0.041,0.071
584,26,M,0.834,0.114,0.052,62,M,0.888,0.044,0.068
585,26,M,0.869,0.111,0.02,61,M,0.869,0.064,0.067
586,26,S,0.064,0.818,0.118,62,M,0.879,0.046,0.074
587,26,M,0.811,0.081,0.108,62,M,0.869,0.025,0.107
588,26,M,0.876,0.045,0.079,62,M,0.875,0.022,0.103
589,26,M,0.837,0.113,0.05,62,M,0.841,0.095,0.064
590,26,M,0.833,0.114,0.053,63,M,0.869,0.106,0.024
591,26,M,0.899,0.04,0.061,61,M,0.838,0.04,0.122
592,26,M,0.828,0.111,0.061,62,M,0.841,0.118,0.041
593,26,M,0.938,0.033,0.029,62,M,0.785,0.085,0.13
594,26,I,0.105,0.088,0.807,62,S,0.062,0.887,0.05
595,26,I,0.112,0.063,0.824,63,I,0.027,0.038,0.935
596,26,M,0.886,0.092,0.022,62,M,0.866,0.052,0.083
597,27,M,0.852,0.095,0.053,64,M,0.846,0.068,0.086
598,26,M,0.788,0.11,0.102,63,M,0.872,0.028,0.1
599,27,M,0.847,0.037,0.115,63,M,0.862,0.116,0.022
600,26,M,0.836,0.082,0.082,63,M,0.82,0.074,0.106
601,26,M,0.845,0.095,0.059,64,M,0.783,0.111,0.106
602,26,M,0.874,0.089,0.038,63,I,0.067,0.108,0.826
603,26,I,0.131,0.038,0.831,64,I,0.043,0.029,0.928
604,27,M,0.813,0.089,0.098,64,M,0.873,0.054,0.073
605,26,M,0.858,0.116,0.026,65,M,0.819,0.085,0.097
606,26,M,0.827,0.131,0.042,65,M,0.856,0.069,0.075
607,26,M,0.902,0.063,0.035,64,I,0.085,0.109,0.806
608,26,M,0.861,0.043,0.096,64,M,0.831,0.092,0.077
609,27,M,0.799,0.074,0.126,64,M,0.862,0.064,0.075
610,27,M,0.866,0.038,0.096,65,M,0.872,0.096,0.032
611,27,M,0.883,0.032,0.084,65,M,0.801,0.079,0.12
612,27,M,0.869,0.094,0.037,65,I,0.114,0.102,0.784
613,26,M,0.792,0.1,0.108,66,M,0.765,0.121,0.114
614,27,M,0.914,0.046,0.041,65,M,0.85,0.025,0.125
615,26,M,0.83,0.072,0.098,66,M,0.828,0.08,0.092
616,27,M,0.902,0.052,0.046,66,M,0.791,0.123,0.085
617,26,M,0.808,0.124,0.068,66,M,0.842,0.065,0.093
618,26,M,0.825,0.095,0.08,67,M,0.838,0.056,0.107
619,27,M,0.915,0.055,0.03,66,M,0.849,0.039,0.112
620,26,I,0.077,0.114,0.809,68,I,0.04,0.074,0.886
621,26,M,0.82,0.096,0.084,66,M,0.829,0.11,0.061
622,26,M,0.839,0.047,0.113,67,M,0.809,0.101,0.091
623,27,S,0.061,0.835,0.105,67,S,0.053,0.825,0.121
624,27,M,0.92,0.03,0.05,67,M,0.86,0.022,0.118
625,27,M,0.932,0.041,0.027,67,M,0.906,0.023,0.07
626,27,M,0.851,0.037,0.113,69,M,0.885,0.046,0.069
627,27,S,0.107,0.822,0.071,67,S,0.039,0.901,0.06
628,27,I,0.11,0.114,0.775,68,I,0.036,0.029,0.934
629,27,M,0.886,0.04,0.073,68,M,0.866,0.113,0.021
630,27,S,0.072,0.812,0.116,68,S,0.074,0.815,0.11
631,27,M,0.916,0.058,0.025,69,M,0.755,0.121,0.123
632,27,M,0.848,0.06,0.093,69,M,0.852,0.033,0.115
633,27,M,0.788,0.118,0.094,69,M,0.82,0.075,0.105
634,27,M,0.834,0.05,0.115,69,M,0.807,0.102,0.091
635,27,M,0.861,0.023,0.116,70,M,0.865,0.099,0.035
636,27,M,0.891,0.077,0.031,69,M,0.785,0.12,0.095
637,28,M,0.859,0.052,0.088,69,M,0.855,0.082,0.063
638,27,M,0.824,0.087,0.089,70,M,0.871,0.095,0.035
639,27,I,0.044,0.072,0.884,70,I,0.093,0.057,0.851
640,27,M,0.802,0.095,0.103,69,M,0.838,0.066,0.096
641,27,M,0.843,0.11,0.046,70,M,0.847,0.115,0.038
642,27,M,0.827,0.107,0.066,70,M,0.915,0.039,0.046
643,28,M,0.859,0.045,0.096,71,M,0.912,0.032,0.056
644,27,S,0.077,0.865,0.058,71,M,0.872,0.03,0.097
645,28,M,0.861,0.099,0.04,71,M,0.824,0.108,0.068
646,28,M,0.81,0.107,0.083,72,M,0.902,0.046,0.052
647,28,M,0.841,0.126,0.034,72,M,0.846,0.113,0.041
648,28,M,0.869,0.098,0.033,72,M,0.76,0.117,0.123
649,27,M,0.877,0.021,0.102,72,M,0.861,0.094,0.045
650,28,M,0.932,0.031,0.037,72,M,0.839,0.107,0.054
651,27,M,0.893,0.076,0.031,72,M,0.923,0.025,0.053
652,27,S,0.086,0.848,0.065,72,S,0.053,0.888,0.06
653,27,M,0.813,0.089,0.098,72,M,0.835,0.054,0.11
654,27,I,0.041,0.03,0.929,73,I,0.097,0.059,0.844
655,28,M,0.909,0.056,0.035,72,S,0.054,0.879,0.067
656,28,S,0.083,0.835,0.082,73,S,0.03,0.894,0.076
657,28,M,0.855,0.066,0.079,72,M,0.839,0.107,0.054
658,28,M,0.878,0.073,0.048,72,M,0.857,0.037,0.105
659,28,S,0.088,0.823,0.089,74,S,0.044,0.899,0.057
660,28,M,0.874,0.057,0.07,73,M,0.841,0.103,0.056
661,28,M,0.824,0.112,0.064,73,M,0.854,0.088,0.058
662,28,M,0.856,0.095,0.049,73,I,0.101,0.081,0.817
663,28,M,0.853,0.1,0.047,73,M,0.792,0.09,0.118
664,28,M,0.816,0.087,0.097,74,M,0.807,0.117,0.076
665,28,S,0.051,0.906,0.042,73,S,0.103,0.797,0.1
666,28,M,0.864,0.058,0.078,75,M,0.896,0.036,0.068
667,27,M,0.818,0.113,0.069,75,M,0.837,0.11,0.053
668,28,I,0.054,0.108,0.838,74,I,0.106,0.089,0.805
669,28,M,0.902,0.042,0.056,75,M,0.848,0.043,0.11
670,28,I,0.027,0.118,0.856,75,S,0.108,0.838,0.055
671,28,M,0.83,0.088,0.082,75,M,0.827,0.052,0.12
672,28,M,0.892,0.075,0.033,75,M,0.803,0.123,0.074
673,28,S,0.054,0.875,0.071,76,S,0.082,0.889,0.029
674,28,M,0.822,0.119,0.059,76,M,0.871,0.025,0.104
675,28,M,0.861,0.049,0.09,75,M,0.867,0.087,0.046
676,28,S,0.07,0.829,0.101,77,S,0.094,0.813,0.093
677,28,M,0.838,0.049,0.112,77,M,0.834,0.107,0.059
678,28,M,0.808,0.084,0.108,76,M,0.83,0.085,0.085
679,28,M,0.899,0.051,0.05,77,M,0.817,0.122,0.06
680,28,M,0.861,0.059,0.079,76,S,0.105,0.854,0.041
681,28,M,0.88,0.068,0.052,77,M,0.793,0.097,0.11
682,28,M,0.835,0.078,0.087,77,M,0.795,0.093,0.113
683,29,I,0.111,0.074,0.815,77,I,0.108,0.065,0.827
684,28,M,0.891,0.088,0.021,77,M,0.877,0.023,0.1
685,28,S,0.067,0.871,0.063,78,S,0.062,0.82,0.118
686,29,M,0.844,0.05,0.106,78,M,0.862,0.079,0.06
687,29,M,0.813,0.096,0.091,79,M,0.847,0.122,0.03
688,29,M,0.835,0.114,0.051,77,M,0.813,0.093,0.094
689,29,M,0.834,0.129,0.037,78,M,0.93,0.041,0.03
690,29,M,0.864,0.091,0.045,78,M,0.831,0.095,0.074
691,28,M,0.892,0.054,0.054,79,M,0.89,0.024,0.086
692,28,M,0.809,0.065,0.126,79,M,0.861,0.034,0.106
693,28,M,0.844,0.096,0.06,78,M,0.911,0.047,0.042
694,29,M,0.856,0.044,0.1,80,M,0.858,0.089,0.053
695,28,M,0.837,0.061,0.102,79,M,0.861,0.06,0.079
696,29,M,0.899,0.047,0.054,80,M,0.891,0.044,0.065
697,29,M,0.908,0.033,0.059,80,M,0.841,0.072,0.087
698,29,M,0.904,0.055,0.042,80,M,0.8,0.131,0.069
699,28,M,0.797,0.095,0.107,80,M,0.842,0.1,0.058
700,29,M,0.859,0.093,0.048,79,M,0.866,0.08,0.054
701,29,I,0.121,0.132,0.747,81,M,0.851,0.033,0.116
702,29,M,0.899,0.079,0.022,80,M,0.843,0.129,0.029
703,29,M,0.791,0.123,0.086,80,M,0.885,0.035,0.08
704,29,M,0.88,0.071,0.049,81,M,0.87,0.03,0.1
705,29,M,0.884,0.033,0.083,82,M,0.864,0.072,0.063
706,29,I,0.074,0.04,0.886,82,I,0.048,0.065,0.887
707,29,M,0.792,0.116,0.092,82,M,0.864,0.093,0.043
708,29,M,0.889,0.035,0.077,81,M,0.887,0.083,0.03
709,28,M,0.862,0.051,0.087,82,M,0.912,0.032,0.057
710,29,M,0.798,0.111,0.092,83,M,0.853,0.043,0.104
711,29,M,0.937,0.022,0.041,82,M,0.808,0.091,0.102
712,29,M,0.825,0.101,0.074,83,M,0.854,0.108,0.037
713,28,M,0.948,0.028,0.025,82,M,0.883,0.044,0.073
714,29,M,0.871,0.052,0.077,82,M,0.857,0.054,0.089
715,29,M,0.862,0.022,0.117,84,M,0.878,0.04,0.082
716,29,M,0.814,0.078,0.108,84,M,0.836,0.103,0.061
717,29,S,0.126,0.849,0.025,83,S,0.06,0.871,0.07
718,30,S,0.066,0.818,0.116,84,S,0.087,0.864,0.049
719,29,M,0.817,0.064,0.119,83,M,0.795,0.107,0.098
720,30,M,0.814,0.129,0.057,84,M,0.854,0.049,0.097
721,29,S,0.071,0.816,0.113,85,S,0.108,0.824,0.069
722,29,M,0.89,0.072,0.038,84,M,0.795,0.114,0.091
723,29,S,0.112,0.796,0.092,84,S,0.059,0.857,0.084
724,29,M,0.878,0.021,0.101,85,M,0.944,0.028,0.028
725,29,M,0.879,0.035,0.086,84,M,0.834,0.093,0.074
726,30,S,0.116,0.817,0.067,84,S,0.038,0.866,0.096
727,29,M,0.906,0.033,0.061,85,M,0.829,0.1,0.072
728,30,M,0.796,0.111,0.093,86,M,0.842,0.083,0.075
729,30,S,0.096,0.838,0.066,86,S,0.028,0.876,0.095
730,29,M,0.848,0.036,0.116,86,M,0.892,0.037,0.072
731,29,M,0.83,0.09,0.08,87,M,0.863,0.035,0.102
732,30,M,0.818,0.074,0.108,85,M,0.913,0.034,0.054
733,29,M,0.936,0.031,0.032,86,M,0.801,0.089,0.11
734,30,I,0.03,0.093,0.877,86,I,0.031,0.108,0.861
735,30,M,0.885,0.042,0.073,86,I,0.051,0.112,0.838
736,30,S,0.036,0.861,0.103,86,S,0.098,0.821,0.081
737,30,M,0.822,0.092,0.086,87,M,0.856,0.075,0.069
738,29,M,0.903,0.054,0.043,88,M,0.84,0.053,0.106
739,30,M,0.846,0.083,0.071,88,M,0.9,0.032,0.068
740,29,S,0.095,0.832,0.073,87,S,0.116,0.772,0.111
741,29,M,0.905,0.029,0.066,89,M,0.804,0.12,0.075
742,30,M,0.784,0.103,0.113,87,M,0.86,0.026,0.114
743,30,M,0.903,0.062,0.035,88,M,0.929,0.036,0.036
744,30,I,0.036,0.026,0.937,88,I,0.108,0.079,0.813
745,30,M,0.87,0.051,0.079,88,M,0.9,0.036,0.065
746,30,M,0.846,0.112,0.042,88,M,0.849,0.1,0.05
747,30,M,0.814,0.098,0.088,88,M,0.831,0.038,0.131
748,30,M,0.819,0.093,0.088,88,M,0.89,0.082,0.028
749,30,M,0.811,0.122,0.067,90,M,0.875,0.047,0.078
750,30,I,0.13,0.058,0.812,89,I,0.026,0.104,0.87
751,30,M,0.803,0.122,0.075,90,I,0.094,0.099,0.807
752,30,S,0.052,0.84,0.107,91,S,0.088,0.858,0.054
753,30,M,0.904,0.053,0.043,90,M,0.813,0.068,0.119
754,30,S,0.055,0.905,0.04,90,S,0.053,0.911,0.036
755,30,M,0.794,0.119,0.087,91,M,0.865,0.03,0.105
756,30,M,0.897,0.031,0.072,91,M,0.887,0.054,0.059
757,30,M,0.773,0.117,0.109,91,M,0.914,0.058,0.027
758,30,M,0.822,0.088,0.09,90,M,0.826,0.115,0.059
759,30,I,0.085,0.093,0.822,90,I,0.115,0.13,0.755
760,30,S,0.052,0.901,0.047,91,S,0.064,0.827,0.108
761,30,S,0.033,0.886,0.081,92,S,0.09,0.817,0.094
762,31,M,0.877,0.06,0.063,91,M,0.808,0.116,0.076
763,30,M,0.82,0.104,0.076,93,M,0.854,0.12,0.026
764,30,S,0.077,0.891,0.032,92,S,0.101,0.824,0.075
765,30,I,0.105,0.071,0.824,93,I,0.098,0.097,0.804
766,30,M,0.904,0.056,0.04,92,M,0.85,0.104,0.046
767,30,M,0.89,0.063,0.046,93,S,0.105,0.771,0.124
768,30,M,0.887,0.048,0.065,93,M,0.787,0.103,0.11
769,31,M,0.87,0.022,0.108,93,M,0.878,0.101,0.021
770,30,M,0.913,0.054,0.034,93,M,0.855,0.073,0.072
771,31,M,0.799,0.104,0.097,94,M,0.86,0.051,0.089
772,31,M,0.821,0.098,0.081,94,I,0.032,0.114,0.854
773,30,M,0.839,0.106,0.055,95,M,0.794,0.107,0.099
774,30,M,0.887,0.05,0.063,93,M,0.827,0.077,0.096
775,30,M,0.853,0.066,0.081,94,M,0.788,0.112,0.099
776,31,M,0.874,0.033,0.093,94,M,0.825,0.071,0.104
777,30,S,0.104,0.794,0.103,94,S,0.058,0.871,0.072
778,31,M,0.841,0.07,0.089,94,M,0.807,0.081,0.113
779,30,M,0.887,0.055,0.057,95,M,0.924,0.029,0.047
780,31,M,0.899,0.056,0.044,96,M,0.951,0.025,0.024
781,30,M,0.842,0.108,0.05,95,M,0.798,0.108,0.094
782,31,M,0.913,0.065,0.023,95,M,0.87,0.036,0.095
783,30,S,0.052,0.918,0.031,96,S,0.088,0.841,0.071
784,31,M,0.857,0.077,0.066,95,M,0.924,0.032,0.044
785,31,S,0.06,0.808,0.132,95,S,0.043,0.876,0.081
786,30,M,0.843,0.107,0.05,96,M,0.903,0.039,0.058
787,31,M,0.848,0.057,0.095,95,M,0.835,0.066,0.098
788,30,M,0.857,0.103,0.04,96,M,0.895,0.029,0.076
789,31,M,0.805,0.11,0.085,97,M,0.834,0.054,0.112
790,31,M,0.888,0.045,0.066,97,S,0.119,0.769,0.111
791,31,M,0.814,0.13,0.056,98,M,0.849,0.088,0.063
792,31,M,0.844,0.11,0.046,97,M,0.865,0.082,0.053
793,31,M,0.842,0.104,0.054,97,M,0.827,0.097,0.076
794,31,M,0.826,0.098,0.076,98,M,0.853,0.118,0.029
795,31,M,0.836,0.07,0.094,97,M,0.878,0.036,0.086
796,31,M,0.914,0.046,0.04,98,M,0.889,0.039,0.072
797,31,S,0.11,0.791,0.1,98,S,0.059,0.839,0.102
798,31,M,0.87,0.078,0.052,98,M,0.892,0.083,0.025
799,31,I,0.03,0.091,0.878,99,I,0.086,0.103,0.811
800,31,M,0.871,0.035,0.093,99,M,0.81,0.071,0.119
801,31,M,0.85,0.096,0.054,98,M,0.859,0.105,0.035
802,31,M,0.861,0.029,0.11,99,M,0.891,0.033,0.076
803,31,M,0.882,0.054,0.063,100,M,0.827,0.093,0.08
804,31,M,0.792,0.103,0.105,99,M,0.861,0.032,0.106
805,32,M,0.85,0.106,0.044,100,M,0.915,0.044,0.041
806,31,M,0.85,0.059,0.091,100,M,0.872,0.104,0.024
807,31,M,0.897,0.049,0.054,100,M,0.85,0.1,0.05
808,31,S,0.072,0.872,0.056,100,S,0.1,0.839,0.061
809,31,M,0.886,0.047,0.067,102,M,0.838,0.097,0.065
810,31,M,0.84,0.086,0.074,101,M,0.85,0.108,0.042
811,32,I,0.026,0.082,0.892,100,I,0.114,0.111,0.775
812,32,S,0.12,0.837,0.044,101,S,0.043,0.894,0.063
813,31,M,0.86,0.064,0.076,101,M,0.832,0.084,0.085
814,32,M,0.868,0.098,0.034,102,M,0.801,0.104,0.095
815,31,M,0.813,0.085,0.102,101,M,0.823,0.099,0.078
